name,viaf,wiki,pages
Camerarius Joachim,2495607,Q64361,182
"Camöes, Luis de",34454091,Q590,"120,125"
Campanella Thomas,7387920,Q191850,"36,62"
Campanus Johannes Antonius,,,"59,179"
"Campanus Vodnianus, Janus",,,231
Campellius Ulricus,,,209
Campion Thomas,,Q455618,"20,167,175"
Camutius Andteas,,,210
Canisius Petrus,,,155
Cantalycius Johannes Bapt.,,,240
Cantemir Demetrius,61561051,Q159933,"223,225"
Cao(u)rsinus Gulielmus,,,86
Capece: see Capycius.,,,
Capellarius Michael,,,277
Capello Francisco,,,"302,304"
Capilupi fratres,,,61
Capitein Johannes E. J.,64053653,Q2465197,"311,312"
Capotius Priamus,,,83
Cappavallis Calcius,317276769,Q94914117,"130,291"
Captivus Septemcastrensis: see Anonymus,,,
Mühlbacensis.,,,
Capycius (Capece) Scipio,,,58
Carbonellus Petrus M.,100211996,Q545716,104
Carbonius Franciscus,68919629,Q3749730,68-9
Cardanus Hieronymus,27062058,Q184530,"62,63,130,210"
Cardosus Hieronymus,47131634,Q16832220,"119,120"
Carmelianus Petrus,39247607,Q18530665,165
Carmina Burana,,,"24,60"
Caro Miguel Antonio,36929873,Q887903,"27,42,300,301"
"Caroli Christiernus, Alander",56586189,Q63751403,278
Carolides Georgius,,,175
Carrara Hubertinus,88050261,Q47307825,285
Carstens A.G.,,,271
Cartari Vincenzo,,,21
Casa (Della Casa) Johannes,,,60
"Casas, Bart. de las",,Q207416,"111,284,301"
Casaubonus Isaac,56620173,Q436002,"208,209,243"
Case John,,,166
Cassarino Antonio,12079518,,14
Cassius Bartholomeus,,,94
"Castellanos, Juan de",61800896,Q3042774,300
Castellesius Hadrianus (Cardinalis),,,170
Castiglia Franciscus,,,101
Castiglione Baldassare,39446776,Q211133,60
Castorina Emmanuel,,,67
"Castro, Stephanus Rodr. de",,,122
"Castro Lopes, Antonius de",,,309
Cataldus Siculus,,,118
"Cato, M. Porcius",99852885,Q180081,6
Catullus,,Q163079,"6,16,54,152,181"
Caudsinus Nicolaus,,,"140,187"
Cavalchini da Villafranca Rinaldus,64880978,Q3935961,55
Caxaro Pietro,170177791,Q267687,101
Caxton William,,Q94608,149
Cebes,,,6
Cechov Anton,,,47
Celtis Conradus,,Q60625,"10,33,48,97,178,179,180-2,188,189,193,197,199,200,204,228,241"
Cereta Laura,35281942,Q3778073,31
"Cerva (Cervinus, Crijevié) Aelius",,,93
Cervantes de Salazar Francisco,97726457,Q5483256,296
Ceva Thomas,,,"28,64"
Chalcondylas Demetrius,,,87
Champier Symphorien,,Q369219,"129,142"
Chang V.,,,324
Chapman Fridericus H.,46894680,Q722241,279
Charles d'Orl€ans,,,"128,140"
Chartier (Auriga) Alain,57146825200007631661,Q982038,"128,140"
Chastellain Pierre,,,287
Cheeshahteaumuck Caleb,160591123,,289
Chifellius Henricus,311275341,,138
Chigi Agostino,,,74
Chigi Fabio: see Alexander VII.,,,
Chilianus Eques,9803265,Q1741286,23
Chladenius Johannes M.,66689269,Q90559,191:
Chorier Nicolaus,66465162,Q1235217,132
"Christina, Queen of Sweden",,Q52937,"63,64,276,281"
Christinaeus P.,,,311
Chrysoloras Manuel,90639363,Q434356,"84,87"
Chytraeus Nathan,,,61
Ciantar Johannes Ant.,,,"101,102"
"Cicero, M. Tullius",78769600,Q1541,"1,6,17,18,32,60,66,74,85,116,119,153,176,196,225,279,289,320"
Cicuta Aurelio N.(=Valerius Tronus),,,70
Ciesiulewicz Romanus,,,261
Cilicius Cimber: see Ranzovius H.,,,
Cippicus Coriolanus,,,77
Cisnero: see Jimenez.,,,
"Clamengiis, Nicolaus de",14893716,Q744014,"127,131"
Claudianus,246763674,Q205947,"6,32"
Clemens Alexandrinus,100185827,Q188883,124
